Energy;Tempo en  BPM;Danceability;Playlist_genre2;Valence;Track_artist;Track_popularity;Playlist_name;Track_name;Track_album_release_date;Mode;Key;Duration_minutes;Acousticness;Playlist_subgenre2
86%;119;66%;Pop;65%;USHER, Pitbull;81;Throwback Party;DJ Got Us Fallin' In Love (feat. Pitbull);30/03/10;0;7;4;3%;Throwback
82%;118;71%;Pop;87%;Whitney Houston;81;Throwback Party;I Wanna Dance with Somebody (Who Loves Me);02/06/87;1;1;5;21%;Throwback
66%;146;63%;Pop;60%;beabadoobee;80;Bedroom Pop;the perfect pair;15/07/22;1;11;3;43%;Bedroom
77%;127;74%;Pop;61%;Black Eyed Peas;80;Throwback Party;I Gotta Feeling;01/01/09;1;0;5;9%;Throwback
42%;119;75%;Pop;81%;Bobby Helms;80;Global Top 50;Jingle Bell Rock;02/12/57;1;2;2;64%;Global
84%;113;79%;Pop;38%;Britney Spears;80;Throwback Party;Gimme More;25/10/07;1;2;4;25%;Throwback
80%;106;82%;Pop;63%;Bruno Mars;80;Throwback Party;24K Magic;17/11/16;1;1;4;3%;Throwback
83%;139;51%;Pop;77%;Bryan Adams;80;Throwback Party;Summer Of '69;05/11/84;1;2;4;2%;Throwback
58%;120;78%;Pop;66%;Carly Rae Jepsen;80;Throwback Party;Call Me Maybe;01/01/12;1;7;3;1%;Throwback
80%;120;71%;Pop;73%;Cyndi Lauper;80;Throwback Party;Girls Just Want to Have Fun;14/10/83;1;6;4;22%;Throwback
79%;126;60%;Pop;30%;David Guetta, Sia;80;Throwback Party;Titanium (feat. Sia);07/12/12;0;0;4;7%;Throwback
85%;110;67%;Pop;78%;Dua Lipa;80;Soft Pop Hits;Dance The Night - From Barbie The Album;25/05/23;0;11;3;2%;Soft
80%;899;65%;Pop;80%;Gym Class Heroes, Adam Levine;80;Throwback Party;Stereo Hearts (feat. Adam Levine);11/11/11;1;9;4;3%;Throwback
58%;117;97%;Pop;96%;Justin Timberlake, Timbaland;80;Throwback Party;SexyBack (feat. Timbaland);12/09/06;0;7;4;6%;Throwback
53%;755;55%;Pop;52%;Mac DeMarco;80;Bedroom Pop;For the First Time;05/05/17;0;5;3;30%;Bedroom
66%;102;65%;Pop;47%;Maroon 5;80;Soft Pop Hits;She Will Be Loved - Radio Mix;24/06/05;0;0;4;23%;Soft
88%;102;74%;Pop;46%;Sean Paul, Dua Lipa;80;Throwback Party;No Lie;29/06/18;1;7;4;5%;Throwback
87%;159;53%;Pop;43%;The Chainsmokers, Daya;80;Throwback Party;Don't Let Me Down;05/02/16;1;11;3;16%;Throwback
64%;790;48%;Pop;50%;Train;80;Soft Pop Hits;Drops of Jupiter (Tell Me);27/03/01;1;0;4;15%;Soft
83%;950;75%;Pop;89%;Britney Spears;79;Throwback Party;Oops!...I Did It Again;16/05/00;0;1;4;30%;Throwback
86%;128;41%;Pop;35%;Calvin Harris, John Newman;79;Throwback Party;Blame (feat. John Newman);31/10/14;0;0;4;3%;Throwback
80%;116;80%;Pop;94%;Elton John, Dua Lipa, PNAU;79;Soft Pop Hits;Cold Heart - PNAU Remix;13/08/21;1;1;3;3%;Soft
47%;890;45%;Pop;54%;Giveon;79;Soft Pop Hits;Heartbreak Anniversary;27/03/20;1;0;3;52%;Soft
57%;125;85%;Pop;79%;Justin Bieber;79;Throwback Party;What Do You Mean?;13/11/15;0;5;3;59%;Throwback
74%;118;82%;Pop;75%;Lady Gaga, Colby O'Donis;79;Throwback Party;Just Dance;01/01/08;0;1;4;3%;Throwback
87%;184;47%;Pop;81%;Linkin Park;79;Global Top 50;The Emptiness Machine;15/11/24;1;7;3;2%;Global
47%;119;77%;Pop;34%;Lukas Graham;79;Soft Pop Hits;7 Years;01/04/16;1;10;4;29%;Soft
76%;128;72%;Pop;62%;Maroon 5, Christina Aguilera;79;Throwback Party;"Moves Like Jagger - Studio Recording From ""The Voice"" Performance";02/07/05;0;11;3;1%;Throwback
80%;139;70%;Pop;83%;OneRepublic;79;Soft Pop Hits;I Ain't Worried;13/05/22;1;0;2;8%;Soft
63%;103;67%;Pop;55%;Pink;79;Soft Pop Hits;Try;18/09/12;1;2;4;0%;Soft
67%;122;83%;Pop;55%;Rihanna;79;Throwback Party;Don't Stop The Music;02/06/08;0;6;4;3%;Throwback
50%;144;50%;Pop;62%;Soft Cell;79;Throwback Party;Tainted Love;03/06/05;0;0;3;46%;Throwback
86%;110;77%;Pop;89%;Spice Girls;79;Throwback Party;Wannabe;01/01/96;1;11;3;10%;Throwback
81%;104;61%;Pop;59%;Tate McRae;79;Today's Top Hits;2 hands;14/11/24;1;1;3;12%;Mainstream
57%;125;61%;Pop;76%;50 Cent, Olivia;78;Throwback Party;Candy Shop;03/03/05;1;11;3;3%;Throwback
49%;119;75%;Pop;54%;ABBA;78;Throwback Party;Gimme! Gimme! Gimme! (A Man After Midnight);01/06/05;1;10;5;2%;Throwback
45%;178;60%;Pop;54%;Ariana Grande, Justin Bieber;78;Soft Pop Hits;Stuck with U (with Justin Bieber);08/05/20;1;8;4;22%;Soft
74%;127;58%;Pop;61%;Avicii;78;Throwback Party;Waiting For Love;02/10/15;0;6;4;31%;Throwback
82%;144;62%;Pop;45%;Bruno Mars;78;Soft Pop Hits;Marry You;11/05/10;1;10;4;33%;Soft
17%;112;68%;Pop;23%;Calum Scott;78;Soft Pop Hits;Dancing On My Own;09/03/18;1;1;4;84%;Soft
92%;132;65%;Pop;46%;Cher;78;Throwback Party;Believe;20/06/05;1;6;4;1%;Throwback
55%;104;74%;Pop;87%;Clairo;78;Bedroom Pop;Bags;02/08/19;1;1;4;17%;Bedroom
73%;121;50%;Pop;53%;Disclosure, Sam Smith;78;Throwback Party;Latch;03/06/13;1;1;4;2%;Throwback
78%;105;55%;Pop;81%;Dolly Parton;78;Throwback Party;9 to 5;02/06/05;1;6;3;42%;Throwback
84%;131;73%;Pop;78%;Elton John, Kiki Dee;78;Throwback Party;Don't Go Breaking My Heart;24/10/75;1;5;5;15%;Throwback
49%;136;75%;Pop;53%;Halsey;78;Soft Pop Hits;Without Me;17/01/20;1;6;3;29%;Soft
78%;130;73%;Pop;58%;Jennifer Lopez, Pitbull;78;Throwback Party;On The Floor;29/04/11;0;3;5;11%;Throwback
71%;100;89%;Pop;82%;Justin Timberlake;78;Throwback Party;Rock Your Body;04/11/02;0;4;4;20%;Throwback
56%;126;77%;Pop;96%;Kylie Minogue;78;Throwback Party;Can't Get You out of My Head;01/10/01;0;9;4;3%;Throwback
93%;127;57%;Pop;49%;Linkin Park;78;Global Top 50;Heavy Is the Crown;15/11/24;0;4;3;1%;Global
